Parisiis	LOC
:	O
apud	O
Thomam	O
Brumennium	O
,	O
1579	O
Parisiis	LOC
:	O
apud	O
Sebastianum	O
Niuellium	O
...	O
,	O
1571	O
Parisiis	LOC
:	O
apud	O
Christianum	O
Wechelum	O
...	O
,	O
1540	O
Parisiis	LOC
:	O
in	O
officina	O
Christiani	O
Wecheli	O
...	O
,	O
1539	O
Parisiis	LOC
:	O
apud	O
Oudinum	O
Paruum	O
...	O
,	O
1542	O
Lugduni	LOC
:	O
apud	O
Gulielmum	O
Rouillium	O
...	O
,	O
1563	O
-LRB-	O
1569	O
-RRB-	O
Parisiis	LOC
:	O
apud	O
Sebastianum	O
Niuellium	O
:	O
typis	O
cudebat	O
Ioannes	O
Charron	O
...	O
,	O
1581	O
Parisiis	LOC
:	O
apud	O
Sebastianum	O
Niuellium	O
sub	O
Ciconiis	O
...	O
:	O
excudebat	O
Ioannes	O
Benenatus	O
...	O
,	O
1569	O
Parisiis	LOC
:	O
apud	O
Oudinum	O
Paruum	O
...	O
:	O
excudebat	O
Iohannes	O
Lodoycus	O
Tiletanus	O
,	O
1542	O
Parisiis	LOC
:	O
apud	O
Martinum	O
Iuuenem	O
...	O
,	O
1566	O
Parisiis	LOC
:	O
apud	O
Joannem	O
Foucherium	O
...	O
,	O
1542	O
Lugduni	LOC
:	O
sumptibus	O
Ioannis	O
Baptistae	O
Buysson	O
,	O
1599	O
Lugduni	LOC
:	O
apud	O
Antonium	O
Gryphium	O
,	O
1593	O
Lugduni	LOC
:	O
apud	O
haeredes	O
Iacobi	O
Iunctae	O
,	O
1568	O
Parisiis	LOC
:	O
apud	O
Sebastianum	O
Cramoisy	O
...	O
,	O
1631	O
Lugduni	LOC
:	O
apud	O
Horatium	O
Cardon	O
,	O
1608	O
Parisis	O
:	O
apud	O
Iohannem	O
de	O
Roigny	O
:	O
excudebat	O
Federicus	O
Morellus	O
,	O
1562	O
Parisiis	LOC
:	O
in	O
aedibus	O
Rouillij	O
...	O
,	O
1564	O
Parisiis	LOC
:	O
ex	O
officina	O
Gerardi	O
Morrhii	O
Campensis	O
:	O
apud	O
Collegium	O
Sorbonae	O
,	O
1531	O
Parisiis	LOC
:	O
apud	O
Joannem	O
Roigny	O
...	O
:	O
excudebat	O
Audoeno	O
Petit	O
,	O
amp	O
;	O
Ioanni	O
Roigny	O
,	O
Benedictus	O
Preuost	O
,	O
1548	O
Lugduni	LOC
:	O
apud	O
Theobaldum	O
Paganum	O
,	O
1560	O
Parisiis	LOC
:	O
Apud	O
Michaëlem	O
Sonnium	O
,	O
via	O
Diui	O
Iacobi	O
,	O
sub	O
scuto	O
Basilensi	O
,	O
1571	O
Lugduni	LOC
:	O
sumptibus	O
Deuille	O
Fratrum	O
amp	O
;	O
Lud	O
.	O
Chalmette	O
,	O
1734	O
Parisiis	LOC
:	O
Magna	O
Societas	O
Lutetiana	O
,	O
1589	O
Lugduni	LOC
:	O
apud	O
Guliel	O
.	O
Rouillium	O
,	O
1572	O
Lutetiae	LOC
:	O
apud	O
Guillielmum	O
Chaudiere	O
...	O
,	O
1566	O
Lutetiae	LOC
:	O
apud	O
Guillielmum	O
Chaudiere	O
...	O
,	O
1567	O
Lugduni	LOC
:	O
apud	O
Joannem	O
Frellonium	O
:	O
excudebat	O
Symphorianus	O
Barbierus	O
,	O
1563	O
Lugduni	LOC
:	O
apud	O
Ioannem	O
Frellonium	O
:	O
excudebat	O
Symphorianus	O
Barbierus	O
,	O
1563	O
Paris	LOC
:	O
Librairie	O
Ch	O
.	O
Delagrave	O
,	O
1897	O
Paris	LOC
:	O
Librairie	O
Ch	O
.	O
Delagrave	O
,	O
1882	O
Parisiis	LOC
:	O
apud	O
Marcum	O
Orry	O
...	O
,	O
1600	O
-LSB-	O
Lugduni	LOC
-RSB-	O
:	O
Theobaldus	O
Paganus	O
excudebat	O
Lugdu.	O
,	O
1536	O
Lugduni	LOC
:	O
impressum	O
per	O
Theobaldum	O
Payen	O
...	O
,	O
1536	O
Lugduni	LOC
:	O
excudebat	O
Theobaldus	O
Paganus	O
,	O
1536	O
Lugduni	LOC
:	O
-LSB-	O
excudebat	O
Theobaldus	O
Paganus	O
?	O
-RSB-	O
,	O
1536	O
Lugduni	LOC
:	O
opera	O
Antonii	O
Blanchardi	O
,	O
1528	O
Lugduni	LOC
:	O
apud	O
Guilielmum	O
de	O
Millis	O
,	O
1545	O
Lugduni	LOC
:	O
apud	O
Seb	O
.	O
Gryphium	O
,	O
1554	O
Lugduni	LOC
:	O
-LSB-	O
Philippus	O
Thinghyo	O
Florentino	O
...	O
-RSB-	O
,	O
1573	O
Argentorati	LOC
:	O
Georgio	O
Ulrichero	O
Andlano	O
impressore	O
,	O
1536	O
Lugduni	LOC
...	O
:	O
apud	O
Aegidium	O
amp	O
;	O
Iacobum	O
Huguetan	O
fratres	O
,	O
1543	O
Lugduni	LOC
:	O
sumptibus	O
Thomae	O
Soubron	O
et	O
Mosis	O
a	O
Pratis	O
,	O
1595	O
Parisiis	LOC
:	O
apud	O
Ioannem	O
Roigny	O
...	O
,	O
1549	O
-LSB-	O
Lugduni	LOC
-RSB-	O
:	O
impressa	O
...	O
in	O
officina	O
...	O
Iacobi	O
Mareschal	O
calcographi	O
atq	O
-LSB-	O
ue	O
-RSB-	O
bibliopol	O
-LSB-	O
a	O
-RSB-	O
e	O
Lug	O
.	O
:	O
impensisq	O
-LSB-	O
ue	O
-RSB-	O
...	O
Vicentij	O
de	O
Portonariis	O
:	O
necnô	O
impensis	O
Melchior	O
amp	O
;	O
Gaspar	O
Treschel	O
fratrum	O
bibliopolarum	O
Lugduñ	O
,	O
-LSB-	O
1529	O
?	O
-RSB-	O
Parisiis	LOC
:	O
apud	O
Ioannem	O
de	O
Roigni	O
...	O
:	O
excudebat	O
Matthaeus	O
Dauid	O
,	O
1553	O
Parisiis	LOC
:	O
apud	O
Ioannem	O
de	O
Roigny	O
...	O
,	O
1553	O
Parisiis	LOC
:	O
apud	O
Ioannem	O
Roigny	O
...	O
:	O
excudebat	O
Matthaeus	O
Dauid	O
,	O
1549	O
-LRB-	O
1553	O
-RRB-	O
-LSB-	O
Parisiis	LOC
-RSB-	O
:	O
vaenundantur	O
Badio	O
,	O
1526	O
Parisiis	LOC
:	O
ex	O
officina	O
Carolae	O
Guillard	O
...	O
,	O
1546	O
Parisiis	LOC
:	O
apud	O
Sebastianum	O
Niuellium	O
...	O
:	O
ex	O
chalcographia	O
Nicolai	O
Brusle	O
...	O
,	O
1571	O
Lugduni	LOC
:	O
apud	O
Guliel	O
.	O
Rouillium	O
,	O
1583	O
Lugduni	LOC
:	O
ex	O
officina	O
Iuntarum	O
et	O
Pauli	O
Guittii	O
:	O
excudebat	O
Nicolaus	PERS
Guerinus	O
,	O
1586	O
Lugduni	LOC
:	O
ex	O
officina	O
Iuntarum	O
et	O
Pauli	O
Guittii	O
,	O
1586	O
-LSB-	O
Parisiis	LOC
-RSB-	O
:	O
venundantur	O
in	O
aedibus	O
Ascensianis	O
,	O
1514	O
Lugduni	LOC
:	O
apud	O
Claudium	O
Sennetonium	O
,	O
1564	O
Lugduni	LOC
:	O
apud	O
Claudium	O
Sennetonium	O
,	O
1565	O
Lugduni	LOC
:	O
sumptibus	O
Ioannis	O
Baptistae	O
Buysson	O
,	O
1592	O
Lutetiae	LOC
:	O
apud	O
Sebastianum	O
Niuellium	O
...	O
:	O
cudebat	O
-LSB-	O
sic	O
-RSB-	O
Ioannes	O
Charronius	O
...	O
:	O
impensis	O
Sebastiani	O
Niuellij	O
amp	O
;	O
Nicolai	O
Chesneau	O
...	O
,	O
1573	O
Parisiis	LOC
:	O
apud	O
Gulielmum	O
Guillard	O
amp	O
;	O
Almaricum	O
Warancore	O
...	O
,	O
1560	O
Parisiis	LOC
:	O
apud	O
Gulielmum	O
Guillard	O
amp	O
;	O
Amelium	O
Varencorium	O
...	O
,	O
1560	O
Lugduni	LOC
:	O
apud	O
Ant	O
.	O
Gryphium	O
,	O
1586	O
Parisiis	LOC
:	O
apud	O
Michaelem	O
Sonnium	O
...	O
,	O
1583	O
Parisiis	LOC
:	O
apud	O
Ioannem	O
Paruum	O
:	O
per	O
Petru	O
-LSB-	O
m	O
-RSB-	O
Vidouaeu	O
-LSB-	O
m	O
-RSB-	O
,	O
1524	O
,	O
13	O
mensis	O
iulii	O
Impressumq	O
-LSB-	O
ue	O
-RSB-	O
in	O
Argentina	LOC
:	O
per	O
Ioannem	O
Knobloch	O
,	O
1520	O
Lugduni	LOC
...	O
:	O
excudebat	O
Ioannes	O
et	O
Franciscus	O
Frellonii	O
fratres	O
,	O
1545	O
Parisiis	LOC
:	O
apud	O
Thomam	O
Brumennium	O
...	O
,	O
1582	O
Lugduni	LOC
:	O
apud	O
Gulielmum	O
Rouilium	O
:	O
excudebant	O
Stephanus	O
Rufinus	O
,	O
amp	O
;	O
Ioannes	O
Auscultus	O
,	O
1546	O
Parisiis	LOC
:	O
ex	O
officina	O
typographica	O
Michaelis	O
Vascosani	O
...	O
,	O
1555	O
Parisiis	LOC
:	O
apud	O
Ioannem	O
Foucherium	O
...	O
,	O
1550	O
Lutetiae	LOC
:	O
apud	O
Ioannem	O
Roigny	O
...	O
:	O
excudebat	O
Conradus	O
Badius	O
,	O
1548	O
-LSB-	O
Parrhisiis	LOC
-RSB-	O
:	O
venundãtur	O
in	O
vico	O
sancti	O
Jacobi	O
ab	O
Johanne	O
Paruo	O
et	O
ipso	O
Ascensio	O
,	O
1511	O
-LRB-	O
1510	O
-RRB-	O
Parisiis	LOC
:	O
apud	O
Nicolaum	O
Niuellium	O
...	O
,	O
1585	O
Parisiis	LOC
:	O
apud	O
Michëlem	O
Sonnium	O
...	O
,	O
1582	O
Impressum	O
Lugd	O
-LSB-	O
uni	O
-RSB-	O
...	O
:	O
Sy	O
.	O
Vincent	O
:	O
per	O
Antonium	O
du	O
Ry	O
...	O
,	O
1528	O
-LSB-	O
Lugduni	LOC
-RSB-	O
:	O
Sy	O
.	O
Vincent	O
...	O
:	O
impressus	O
Lugd	O
.	O
per	O
Antoniu	O
-LSB-	O
m	O
-RSB-	O
du	O
Ry	O
,	O
1528	O
-LSB-	O
Lugduni	LOC
-RSB-	O
:	O
Sy	O
.	O
Vincent	O
:	O
impressus	O
p	O
-LSB-	O
er	O
-RSB-	O
Antonium	O
du	O
Ry	O
,	O
1528	O
Lugduni	LOC
...	O
:	O
Sy	O
.	O
Vince	O
-LSB-	O
n	O
-RSB-	O
t	O
:	O
impressa	O
per	O
Antonium	O
Du	O
Ry	O
,	O
1528	O
Lugduni	LOC
:	O
apud	O
haeredes	O
Gulielmi	O
Rouillii	O
...	O
,	O
1591	O
Parisiis	LOC
:	O
vaenundantur	O
apud	O
Ioannem	O
Poupy	O
...	O
,	O
1582	O
Lugd	O
-LSB-	O
uni	O
-RSB-	O
:	O
apud	O
Antonium	O
Gryphium	O
,	O
1564	O
Lugduni	LOC
:	O
apud	O
Theobaldum	O
Paganum	O
,	O
1557	O
Lugduni	LOC
:	O
opera	O
Benedicti	O
Bônyn	O
:	O
impensis	O
...	O
D.	O
Jacobi	O
Francisci	O
de	O
Giuncta	O
...	O
,	O
1533	O
Parisiis	LOC
:	O
ex	O
officina	O
Carolae	O
Guillard	O
...	O
,	O
1545	O
Parisiis	LOC
:	O
venundantur	O
ab	O
Johanne	O
Paruo	O
...	O
opera	O
et	O
industria	O
...	O
André	O
Boucard	O
calcographi	O
:	O
impensis	O
autem	O
Johannis	O
Petit	O
,	O
1519	O
Parisiis	LOC
:	O
apud	O
Collegium	O
Sorbonae	O
,	O
1530	O
Lugduni	LOC
:	O
-LSB-	O
Anthoine	O
Vincent	O
-RSB-	O
,	O
1545	O
Lugduni	LOC
:	O
ex	O
officina	O
GasParis	LOC
Trechsel	O
,	O
1545	O
Lugduni	LOC
:	O
sumptibus	O
Philippi	O
Tinghi	O
...	O
,	O
1575	O
Parisiis	LOC
:	O
apud	O
Michaëlem	O
Sonnium	O
...	O
:	O
typis	O
cudebat	O
Ioannes	O
Mettayer	O
...	O
,	O
1578	O
-LRB-	O
1577	O
-RRB-	O
Lugduni	LOC
:	O
apud	O
Guliel	O
.	O
Rouillium	O
...	O
,	O
1554	O
Lugduni	LOC
:	O
apud	O
haeredes	O
Iacobi	O
Iunctae	O
,	O
1570	O
Parisiis	LOC
:	O
impressum	O
impensis	O
...	O
Joh	O
-LSB-	O
ann	O
-RSB-	O
is	O
Parui	O
...	O
,	O
1520	O
Parisiis	LOC
:	O
v	O
-LSB-	O
a	O
-RSB-	O
enundatur	O
...	O
ab	O
eiusdem	O
impressore	O
Iodoco	O
Badio	O
Ascensio	O
amp	O
;	O
ab	O
eius	O
in	O
hoc	O
opere	O
sociis	O
Simone	O
Vincentio	O
amp	O
;	O
Michaele	O
Conrado	O
,	O
1518	O
Parisiis	LOC
:	O
apud	O
Fredericum	O
Leonard	O
...	O
,	O
1675	O
Parisiis	LOC
:	O
Thielman	O
Keruer	O
:	O
in	O
aedibus	O
Yolandae	O
Bonhomme	O
,	O
1541	O
Parisiis	LOC
:	O
Thielman	O
Keruer	O
:	O
in	O
aedibus	O
Yolandae	O
Bonhomme	O
...	O
,	O
1541	O
Parisiis	LOC
:	O
Thielman	O
Kerver	O
:	O
in	O
aedibus	O
Yolandae	O
Bonhomme	O
...	O
,	O
1541	O
Parisiis	LOC
:	O
Thielman	O
Kerver	O
:	O
in	O
aedibus	O
Yolandae	O
Bonhomme	O
...	O
:	O
ex	O
officina	O
Carolae	O
Guillard	O
,	O
1541	O
Parisiis	LOC
:	O
apud	O
Viuantium	O
Gaultherot	O
...	O
,	O
1544	O
Lugduni	LOC
:	O
apud	O
Joannem	O
Baptistam	O
Buysson	O
,	O
1592	O
Parisiis	LOC
:	O
apud	O
Ioannem	O
Gueffier	O
...	O
,	O
1585	O
Parisiis	LOC
:	O
excudebat	O
Carolus	O
Rogerius	O
:	O
impensis	O
Societatis	O
Parisiensis	O
,	O
1586	O
Parisiis	LOC
:	O
apud	O
Gulielmum	O
Merlin	O
...	O
,	O
et	O
Sebastianum	O
Niuellium	O
...	O
,	O
1571	O
Lugduni	LOC
:	O
apud	O
Hugonem	O
a	O
Porta	O
:	O
excudebat	O
Balthazar	O
Arnoullet	O
,	O
1548	O
Lugduni	LOC
:	O
Petrus	O
Fradin	O
excudebat	O
,	O
1560	O
-LRB-	O
1559	O
-RRB-	O
Parisiis	LOC
:	O
vaeneunt	O
a	O
Ioanne	O
Petit	O
...	O
,	O
1533	O
Parisiis	LOC
:	O
Magna	O
Societas	O
Lutetiana	O
:	O
excudebat	O
Iamet	O
Mettayer	O
,	O
1586	O
-LRB-	O
1584	O
-RRB-	O
Parisiis	LOC
:	O
Magna	O
Societas	O
Lutetiana	O
,	O
1586	O
Parisiis	LOC
:	O
ex	O
officina	O
Geruasii	O
Cheuallonii	O
...	O
,	O
1539	O
Parrhisiis	LOC
:	O
prelum	O
Ascensianum	O
I.B.	O
,	O
1510	O
Lugduni	LOC
:	O
apud	O
haeredes	O
Iacobi	O
Iuntae	O
,	O
1555	O
Parisiis	LOC
:	O
apud	O
Simonem	O
Colinaeum	O
,	O
1540	O
Lugduni	LOC
:	O
sumptibus	O
Ioannis	O
Baptistae	O
Buysson	O
,	O
1595	O
Lugduni	LOC
:	O
apud	O
Guliel	O
.	O
Rouillium	O
...	O
,	O
1580	O
Lugduni	LOC
:	O
apud	O
Guliel	O
.	O
Rovillium	O
.	O
.	O
,	O
1572	O
Lugduni	LOC
:	O
apud	O
Sebastianum	O
Barptolomaei	O
Honorati	O
:	O
Iacobus	O
Faure	O
excudebat	O
,	O
1556	O
Lugduni	LOC
:	O
apud	O
Bartholomaeum	O
Vincentium	O
,	O
1575	O
Lugduni	LOC
:	O
apud	O
Barth	O
.	O
Vincent	O
,	O
1582	O
Lugduni	LOC
:	O
apud	O
Bartolomaeum	O
Honoratum	O
:	O
excudebat	O
Guichardus	O
Iullieron	O
...	O
,	O
1581	O
Lugduni	LOC
:	O
apud	O
Bartholomaeum	O
Honoratum	O
...	O
,	O
1586	O
Lugduni	LOC
:	O
apud	O
Sebastianum	O
Barptolomaei	O
Honorati	O
...	O
:	O
excudebat	O
Iacobus	O
Faure	O
,	O
-LSB-	O
1554	O
?	O
-RSB-	O
Lugduni	LOC
:	O
in	O
officina	O
-LSB-	O
Bartholomaei	O
-RSB-	O
Vincentii	O
,	O
1595	O
Lugduni	LOC
:	O
apud	O
Gasparem	O
a	O
Portonaris	O
:	O
excudebat	O
Bartholomaeus	O
Fraenus	O
,	O
1560	O
Lugduni	LOC
:	O
apud	O
Sebastianum	O
Gryphium	O
,	O
1540	O
Parisiis	LOC
:	O
ex	O
officina	O
Carolae	O
Guillard	O
...	O
,	O
-LSB-	O
1547	O
?	O
-RSB-	O
Parisiis	LOC
:	O
apud	O
Ioannem	O
Roygni	O
...	O
:	O
excudebat	O
Carola	O
Guillard	O
...	O
,	O
1547	O
Parisiis	LOC
:	O
apud	O
Guilielmum	O
Chaudiere	O
,	O
1579	O
Lugduñ	O
:	O
impressum	O
per	O
Johannem	O
Thomas	O
:	O
impensis	O
...	O
Stephani	O
Gueynard	O
al	O
-LSB-	O
ia	O
-RSB-	O
s	O
Pineti	O
...	O
,	O
1514	O
Lugduni	LOC
:	O
apud	O
Stephanum	O
Michaelem	O
,	O
1588	O
Lugduni	LOC
:	O
impensis	O
Stephani	O
Guaynardi	O
:	O
opera	O
vero	O
et	O
artificio	O
Johannis	O
de	O
Uingle	O
,	O
1500	O
,	O
23	O
de	O
febrero	O
,	O
3	O
de	O
abril	O
Lugduni	LOC
:	O
apud	O
Stephanum	O
Michaelem	O
,	O
1579	O
Lugduni	LOC
:	O
in	O
off	O
.	O
Q.	O
Philip	O
.	O
Tinghi	O
...	O
:	O
apud	O
Simphorianum	O
Beraud	O
et	O
Stephanum	O
Michaelem	O
,	O
1585	O
Lugduni	LOC
:	O
in	O
officina	O
Q.	O
Philippi	O
Tinghi	O
:	O
apud	O
Simphorianum	O
Beraud	O
et	O
Stephanum	O
Michaelem	O
,	O
1585	O
Lugduni	LOC
:	O
apud	O
Stephanum	O
Doletum	O
,	O
1542	O
Lugduni	LOC
:	O
in	O
off	O
.	O
Q.	O
Philip	O
.	O
Tinghi	O
:	O
apud	O
Simphorianum	O
Beraud	O
et	O
Stephanum	O
Michaelem	O
,	O
1584	O
Lugduni	LOC
:	O
apud	O
Simphorianum	O
Beraud	O
,	O
1579	O
Parisiis	LOC
:	O
apud	O
Sebastianum	O
Niuellium	O
...	O
:	O
excudebat	O
Henricus	O
Theódericus	O
...	O
,	O
1583	O
-LRB-	O
1582	O
-RRB-	O
Parisiis	LOC
:	O
apud	O
Hieronymum	O
de	O
Marnef	O
...	O
,	O
1558	O
Lugduni	LOC
:	O
apud	O
Antonium	O
Valançot	O
,	O
1657	O
Parisiis	LOC
:	O
apud	O
Michaëlem	O
Sonnium	O
...	O
,	O
1573	O
-LSB-	O
Lugduni	LOC
-RSB-	O
:	O
excudebat	O
Ieremias	O
Des	O
Planches	O
,	O
1580	O
Lugduni	LOC
:	O
apud	O
Ant	O
.	O
Gryphium	O
:	O
excudebat	O
Ieremias	O
Des	O
Planches	O
...	O
,	O
1581	O
-LRB-	O
1580	O
-RRB-	O
Lugduni	LOC
:	O
apud	O
haeredes	O
Simonis	O
Vincentij	O
:	O
per	O
Dionysium	O
Harsium	O
,	O
1535	O
Parisiis	LOC
:	O
ex	O
officina	O
Simonis	O
Colinaei	O
,	O
1529	O
Parisiis	LOC
:	O
apud	O
Stephanum	O
Michaelem	O
,	O
1588	O
Lugduni	LOC
:	O
apud	O
Gulielmum	O
Rouillium	O
,	O
1588	O
Lugduni	LOC
:	O
apud	O
Mathiam	O
Bonhomme	O
,	O
1542	O
Paris	LOC
:	O
Librairie	O
Ch	O
.	O
Delagrave	O
...	O
,	O
-LSB-	O
1883	O
?	O
-RSB-	O
Parisiis	LOC
:	O
apud	O
Michaelem	O
Sonnium	O
...	O
,	O
1599	O
Lugduni	LOC
:	O
-LSB-	O
Ioannes	O
Baptista	O
Regnauld	O
amp	O
;	O
Societas	O
Bibliopolarum	O
Parisiensium	O
-RSB-	O
,	O
1590	O
Parisiis	LOC
:	O
apud	O
Arnoldum	O
Sittart	O
...	O
,	O
1584	O
Parisiis	LOC
:	O
apud	O
Sebastianum	O
Niuellium	O
...	O
,	O
1600	O
Lutetiae	LOC
Parisiorum	LOC
:	O
sumptibus	O
Sebastiani	O
Cramoisy	O
...	O
,	O
1623	O
Parisiis	LOC
:	O
apud	O
Petrum	O
Cauellat	O
...	O
,	O
1584	O
?	O
Parisiis	LOC
:	O
apud	O
Ambrosium	O
Droauart	O
...	O
:	O
apud	O
Sebastianum	O
Niuellium	O
...	O
,	O
1600	O
Parisiis	LOC
:	O
Oliua	O
Petri	O
L'Huillier	O
,	O
1584	O
Lugduni	LOC
:	O
apud	O
Joannem	O
Pillehotte	O
...	O
,	O
1599	O
Parisiis	LOC
:	O
apud	O
Aegidium	O
Gorbinum	O
...	O
:	O
excudebat	O
Martinus	O
Iuvenis	O
,	O
1580	O
-LRB-	O
1579	O
-RRB-	O
Parisiis	LOC
:	O
apud	O
Martinum	O
Iuuenem	O
...	O
,	O
1563	O
Parisiis	LOC
:	O
apud	O
Martinum	O
Iuuenem	O
...	O
,	O
1570	O
Parisiis	LOC
:	O
ex	O
officina	O
Petri	O
Lollij	O
,	O
1569	O
Parisiis	LOC
:	O
apud	O
Aegidium	O
Gorbinum	O
...	O
,	O
1585	O
Parisiis	LOC
:	O
apud	O
Aegidium	O
Gorbinum	O
...	O
,	O
1584	O
Lutetiae	LOC
:	O
ex	O
officina	O
typographica	O
M.	O
Vascosani	O
...	O
,	O
1554	O
Lutetiae	LOC
Parisiorum	LOC
:	O
ex	O
officina	O
typographica	O
Michaelis	O
Vascosani	O
...	O
,	O
1558	O
Lugduni	LOC
:	O
apud	O
haeredes	O
Iacobi	O
Iunctae	O
:	O
excudebat	O
Iacobus	O
Faurus	O
,	O
1565	O
A	O
Paris	LOC
:	O
chez	O
Noel	O
Pissot	O
...	O
,	O
1723	O
-LSB-	O
Parisiis	LOC
-RSB-	O
:	O
venundatur	O
in	O
aedibus	O
Iodoci	O
Badii	O
Ascensii	O
...	O
,	O
1520	O
-LSB-	O
Parisiis	LOC
?	O
-RSB-	O
:	O
vaenundantur	O
ab	O
Iodoco	O
Badio	O
Ascensio	O
,	O
1518	O
Lugduni	LOC
:	O
apud	O
Guliel	O
.	O
Rouillium	O
...	O
,	O
1568	O
Lugduni	LOC
:	O
apud	O
haeredes	O
Gulielmi	O
Rouillii	O
...	O
:	O
ex	O
typographia	O
Petri	O
Rolandi	O
,	O
1591	O
Lugduni	LOC
:	O
sumptibus	O
Petri	O
Landry	O
:	O
excudebat	O
Ioannes	O
Tholosanus	O
,	O
1594	O
Lugduni	LOC
:	O
apud	O
Petrum	O
Landry	O
:	O
ex	O
typographia	O
Bonauenturae	O
Nugo	O
,	O
1592	O
Lugduni	LOC
:	O
apud	O
Petrum	O
Landry	O
,	O
1592	O
Lugduni	LOC
:	O
expensis	O
Petri	O
Landry	O
,	O
1579	O
Lugduni	LOC
:	O
apud	O
Carolum	O
Pesnot	O
,	O
1580	O
Lutetiae	LOC
:	O
apud	O
Gulielmum	O
Cauellat	O
sub	O
pingui	O
Gallina	O
ex	O
aduerso	O
Collegij	O
Cameracensis	O
,	O
1561	O
Lutetiae	LOC
:	O
apud	O
Gulielmum	O
Cauellat	O
,	O
sub	O
pingui	O
Gallina	O
,	O
ex	O
aduerso	O
collegij	O
Cameracensis	O
...	O
,	O
1562	O
Lugduni	LOC
:	O
apud	O
Guliel	O
.	O
Rouillium	O
...	O
,	O
1576	O
Lugduni	LOC
:	O
apud	O
Symphorianum	O
Beraud	O
:	O
excudebat	O
Ioannes	O
Symonetus	O
...	O
,	O
1580	O
Lutetiae	LOC
:	O
apud	O
Ioannem	O
Macaeum	O
...	O
:	O
excudebat	O
Ioannes	O
le	O
Blanc	O
iunior	O
...	O
,	O
1576	O
Lugduni	LOC
:	O
sumptibus	O
Sibillae	O
à	O
Porta	O
,	O
1592	O
Lugduni	LOC
:	O
apud	O
Thomam	O
Soubron	O
:	O
ex	O
typographia	O
Stephani	O
Seruain	O
,	O
1595	O
-LRB-	O
1594	O
-RRB-	O
Lugduni	LOC
:	O
apud	O
haeredes	O
Jacobi	O
Junctae	O
,	O
1565	O
Parisiis	LOC
:	O
apud	O
Sebastianum	O
Niuellium	O
...	O
,	O
1574	O
Lugduni	LOC
:	O
-LSB-	O
sumptibus	O
Horatii	O
Cardon	O
-RSB-	O
,	O
1584	O
Lugduni	LOC
:	O
-LSB-	O
s.n.	O
-RSB-	O
,	O
1582	O
A	O
Paris	LOC
:	O
chez	O
les	O
Freres	O
Guerin	O
...	O
,	O
1749	O
Lugduni	LOC
:	O
apud	O
Hugonem	O
à	O
Porta	O
:	O
excudebat	O
Gaspar	O
Trechsel	O
,	O
1542	O
Lugduni	LOC
:	O
ex	O
officina	O
Iuntarum	O
,	O
1592	O
Parisiis	LOC
:	O
apud	O
Micaëlem	O
Sonnium	O
...	O
,	O
1579	O
Lugduni	LOC
:	O
apud	O
Theobaldum	O
Paganum	O
,	O
1561	O
Parisiis	LOC
:	O
ex	O
officina	O
Petri	O
Galteri	O
...	O
,	O
1549	O
Lugduni	LOC
:	O
apud	O
Bartholomaeum	O
Honoratum	O
...	O
,	O
1587	O
-LRB-	O
1586	O
-RRB-	O
Argentorati	LOC
:	O
excudebat	O
Iacobus	O
Cammerlander	O
...	O
,	O
1534	O
Parisiis	LOC
:	O
apud	O
Iohan	O
.	O
Focherium	O
...	O
:	O
excudebat	O
P.	O
Vidouaeus	O
,	O
1542	O
Lugduni	LOC
:	O
apud	O
Seb	O
.	O
Gryphium	O
,	O
1536	O
Lutetiae	LOC
Parisiorum	LOC
:	O
apud	O
Sorbonam	O
:	O
imprimi	O
curabat	O
Gerardus	O
Morrhius	O
Campensis	O
,	O
1532	O
-LRB-	O
1530	O
-RRB-	O
Lugduni	LOC
:	O
sumptibus	O
Petri	O
Landry	O
:	O
excudebat	O
Ioannem	O
Tholozanum	O
,	O
1593	O
Lugduni	LOC
:	O
apud	O
haeredes	O
Iacobi	O
Iuntae	O
,	O
1552	O
Lugduni	LOC
:	O
apud	O
Ioannem	O
Frellonium	O
:	O
excudebat	O
Dominicus	O
Veraarduus	O
,	O
1554	O
-LRB-	O
1552	O
-RRB-	O
Lugduni	LOC
:	O
impensis	O
...	O
Jacobi	O
de	O
Giuncta	O
,	O
1547	O
-LRB-	O
1545	O
-RRB-	O
Lugduni	LOC
:	O
apud	O
Ioannem	O
Pillehotte	O
...	O
:	O
ex	O
typographia	O
haeredum	O
Petri	O
Roussin	O
,	O
1596	O
Lugduni	LOC
:	O
apud	O
Ioannem	O
Pillehotte	O
...	O
,	O
1599	O
Parisiis	LOC
:	O
apud	O
Petrum	O
Cheualerium	O
...	O
,	O
1599	O
Lugduni	LOC
:	O
-LSB-	O
sumptibus	O
Sib	O
.	O
à	O
Porta	O
-RSB-	O
,	O
1585	O
Lugduni	LOC
:	O
apud	O
Carolum	O
Pesnot	O
:	O
ex	O
typographia	O
Theobaldi	O
Ancelin	O
,	O
1584	O
Lugduni	LOC
:	O
apud	O
Theobaldum	O
Ancelin	O
,	O
1584	O
Lugduni	LOC
:	O
sumptibus	O
Petri	O
Landry	O
,	O
1586	O
-LSB-	O
Lugduni	LOC
-RSB-	O
:	O
apud	O
Antonium	O
Vincentium	O
,	O
1561	O
-LSB-	O
Lugduni	LOC
:	O
apud	O
Antonium	O
Vincentium	O
-RSB-	O
,	O
1561	O
Lugduni	LOC
:	O
